innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,innodb_stats_include_delete_marked,rpl_read_size,innodb_buffer_pool_instances,innodb_log_spin_cpu_abs_lwm,innodb_log_spin_cpu_pct_hwm,performance
521099264,0,1,2,15703040,9779200,47293440,39936,106056704,53128192,0,17,4096,388148069,19,38.92
317353984,36,1,0,3745792,16620544,44184576,27648,64917504,51733504,0,20,7168,508261525,73,37.86
2960736256,36,1,2,10979328,1425408,43377664,20480,20157440,19559424,1,50,5120,345313176,27,32.38
510288896,30,1,0,15219712,14108672,41899008,39936,93721600,7180288,1,45,2048,321424523,39,36.42
431980544,34,0,2,6541312,7470080,25936896,26624,17510400,40584192,1,18,3072,86795493,87,30.56
405492736,31,1,2,8437760,1737728,36782080,50176,69140480,22177792,0,19,4096,272195863,68,39.53
2475727872,44,1,0,13190144,7159808,60633088,8192,130909184,8492032,1,34,3072,1025796227,61,33.92
2092280832,35,0,0,15362048,8961024,40519680,8192,29805568,15911936,0,21,2048,439884044,45,33.99
336311296,21,0,0,8542208,10204160,32140288,45056,3190784,51420160,1,14,3072,1233908590,85,39.34
1459301376,7,1,0,8889344,16353280,16102400,36864,86735872,28992512,1,10,5120,308966508,39,34
1603103744,28,1,2,14288896,6066176,53803008,4096,46258176,32972800,0,23,6144,191729727,92,34.29
3137335296,31,0,2,16030720,960512,47643648,2048,106560512,24010752,1,41,2048,2190045377,33,34.81
1225927680,34,0,2,8912896,8309760,35121152,17408,115057664,63278080,0,59,7168,1574236925,43,36.05
2190442496,31,1,0,1731584,7445504,63333376,11264,88133632,38991872,1,30,6144,320257264,80,39.21
2387196928,35,1,0,7084032,10077184,18906112,5120,62738432,26269696,1,36,7168,567866704,30,33.87
1775144960,29,0,0,14746624,621568,9019392,21504,103724032,51480576,0,17,3072,141236557,79,33.34
1707100160,18,1,2,6200320,757760,62113792,15360,124101632,23956480,0,45,6144,123204141,75,33.95
1705764864,46,0,2,8888320,2650112,54021120,15360,109539328,35373056,0,19,7168,2839888365,54,33.73
1158519808,9,0,0,12804096,12381184,50551808,17408,30928896,45408256,0,2,5120,541157851,54,32.83
2421154816,0,0,0,6846464,8481792,65382400,41984,131300352,46106624,1,20,7168,273960391,1,33.59
1878543360,21,0,1,7033856,10987520,9005056,1024,115111936,54682624,1,54,3072,77269292,71,38.21
1958955008,21,1,1,5134336,2725888,27403264,43008,24738816,17983488,1,61,5120,706324989,12,38.95
2846030848,47,0,0,5347328,11769856,7527424,22528,85574656,66279424,1,4,6144,1425851676,49,33.25
2949078016,23,0,0,1527808,11222016,17350656,39936,8096768,3314688,1,2,3072,156113235,90,32.66
267435008,2,1,0,4044800,3276800,64786432,28672,112788480,46052352,1,37,5120,434795473,47,40.16
2331603968,39,1,0,4727808,10660864,5949440,37888,84191232,42813440,0,63,4096,764045232,56,34.56
1809302528,12,0,1,13604864,10055680,50499584,24576,97798144,4608000,0,35,2048,4001246503,31,39.45
599195648,5,1,2,5149696,16399360,67005440,50176,20750336,43137024,0,50,5120,444594074,32,41.31
1899632640,37,0,2,2529280,2330624,23163904,22528,75651072,65219584,0,46,5120,354329666,73,34.46
1259601920,38,1,0,16474112,739328,47049728,9216,62770176,48489472,1,1,5120,670367378,4,39.35
587246592,10,0,0,6696960,7469056,19186688,24576,38739968,14792704,0,44,6144,66043234,7,39.12
959994880,31,0,1,9967616,7277568,954368,6144,50515968,55113728,0,60,3072,461597211,6,45.98
1686958080,41,1,0,15201280,10636288,59940864,0,133541888,55737344,0,42,6144,238545919,51,34.23
2094252032,45,0,2,1732608,15148032,44658688,15360,104425472,59132928,0,54,2048,746183709,83,34.44
631830528,14,0,2,5722112,11864064,46284800,5120,71489536,57107456,0,37,5120,307983191,49,32.95
1725947904,44,0,2,8788992,7247872,63696896,18432,17277952,14509056,1,37,6144,502832775,1,34.85
573702144,26,1,2,947200,1225728,58998784,23552,46190592,1139712,1,62,3072,552540530,8,39.01
1772187648,14,1,1,6627328,15808512,33981440,36864,24428544,51600384,0,14,7168,313875522,95,38.8
2948175872,2,0,2,724992,6917120,51664896,5120,92419072,18528256,0,61,2048,545263924,22,47.42
2665439232,18,0,0,13284352,9414656,35208192,40960,11578368,54549504,1,26,4096,2214654428,78,34.63
1082992640,22,0,1,5726208,6737920,9683968,32768,79590400,29466624,1,61,4096,339491957,66,39.78
1983167488,40,1,0,8099840,2934784,1027072,28672,41830400,53979136,1,57,4096,1111166593,99,34.46
2759860224,36,1,0,8043520,879616,13329408,38912,83774464,46633984,0,44,5120,207155714,59,34.32
1688275968,44,1,0,13821952,12041216,46075904,28672,75930624,29622272,0,40,7168,225484021,30,34.94
1535145984,43,1,0,10139648,6500352,31111168,10240,62764032,56688640,0,27,2048,312058323,88,33.89
1393764352,26,0,0,13137920,3627008,31915008,16384,19992576,34905088,0,45,5120,1916636749,70,34.62
1284625408,13,1,0,2144256,5347328,64075776,45056,24364032,56718336,0,32,7168,1264517059,0,34.09
2957936640,15,1,0,15770624,9445376,37925888,19456,109046784,38712320,0,50,5120,1408884789,43,34.08
677321728,11,1,1,9376768,6942720,8944640,3072,34263040,11033600,1,21,5120,69871217,41,46.09
912993280,20,1,2,16366592,5685248,12231680,2048,66753536,31679488,0,29,3072,298701804,74,38.44
3188103168,7,1,2,13539328,2035712,16097280,45056,59016192,26362880,1,12,7168,268882361,21,33.33
726654976,21,0,1,14008320,13168640,9451520,30720,89859072,16396288,0,17,5120,169602373,16,45.98
1056207872,36,1,1,10271744,7448576,8687616,10240,129657856,57575424,0,28,4096,855299534,26,45.96
1611081728,20,0,1,708608,14291968,36180992,48128,106694656,25688064,1,50,4096,943959309,97,39.56
1609037824,37,1,2,6626304,10868736,11408384,33792,103544832,55938048,0,3,5120,145435218,39,33.52
2262016,28,0,0,4322304,12126208,4984832,20480,98494464,47606784,1,47,6144,458124229,61,209.25
1351025664,28,0,0,14131200,12354560,49344512,5120,104965120,44002304,0,21,7168,1140036004,42,34.41
1727028224,39,0,2,11633664,4044800,61152256,25600,5389312,5771264,1,34,7168,493882613,42,34.8
2768252928,26,1,0,15014912,4323328,49363968,7168,6634496,9128960,1,51,7168,3699632860,40,34.25
1230523392,0,0,2,8186880,11471872,57315328,27648,112204800,5811200,0,5,2048,316575889,94,32.87
609185792,46,0,1,4937728,12006400,36040704,22528,70239232,6747136,0,39,6144,361675326,84,45.76
3046766592,46,0,2,14815232,12146688,42583040,9216,101291008,37369856,1,18,5120,1004500511,79,34.88
80288768,15,1,1,1485824,4098048,931840,19456,92605440,56826880,1,31,2048,488828903,97,53.02
2451207168,38,1,1,16263168,6187008,50501632,21504,67649536,44463104,0,57,3072,419514906,59,39.42
1757384704,41,1,1,6889472,1108992,30550016,23552,132667392,529408,0,49,3072,596869646,91,44.72
625217536,24,0,0,16192512,2941952,60619776,1024,87867392,62700544,1,41,3072,406355124,3,40.49
187646976,17,0,0,15531008,3055616,60218368,40960,53684224,35590144,0,48,7168,84720261,2,39.42
2555685888,15,0,0,4205568,4543488,50572288,32768,133178368,57972736,1,32,2048,3330664631,46,34.48
2398968832,23,0,0,10412032,1536000,34912256,14336,67519488,64735232,0,59,5120,269348185,64,35.18
987930624,2,1,1,13016064,11114496,12610560,16384,5768192,54308864,1,17,6144,429645909,25,44.01
2137052160,41,0,0,1729536,16017408,31647744,3072,68727808,12502016,0,12,7168,2429659971,93,34.32
1774452736,47,1,2,10242048,2150400,57799680,49152,62734336,13513728,1,36,3072,701692826,86,34.9
3123574784,35,1,2,206848,13371392,23326720,39936,110789632,32247808,1,49,6144,462073886,82,35.14
1442876416,35,1,2,14947328,3928064,45537280,32768,116633600,32567296,1,35,4096,402108899,38,34.81
1889313792,38,0,2,4286464,395264,29250560,45056,88313856,33449984,1,63,4096,421137777,93,39.88
2313808896,5,0,0,1951744,11378688,43920384,14336,6934528,54504448,1,26,5120,1142580164,73,34.65
1149022208,46,1,0,15281152,14188544,44457984,21504,96688128,34798592,0,12,5120,133999598,37,34.25
1790877696,15,0,1,6117376,4766720,42165248,29696,124997632,64301056,1,53,5120,163008295,90,39.44
